day,temp_record_min,temp_record_max,temp_average_min,temp_average_max,temp_median,temp_mean,temp_p25,temp_p75,temp_st_dev,temp_num,pressure_min,pressure_max,pressure_median,pressure_mean,pressure_p25,pressure_p75,pressure_st_dev,pressure_num,humidity_min,humidity_max,humidity_median,humidity_mean,humidity_p25,humidity_p75,humidity_st_dev,humidity_num,wind_min,wind_max,wind_median,wind_mean,wind_p25,wind_p75,wind_st_dev,wind_num,precipitation_min,precipitation_max,precipitation_median,precipitation_mean,precipitation_p25,precipitation_p75,precipitation_st_dev,precipitation_num,clouds_min,clouds_max,clouds_median,clouds_mean,clouds_p25,clouds_p75,clouds_st_dev,clouds_num
123,276.98,304.15,283.45,295,288.12,288.41,283.78,292.33,5.69,216,1001,1031,1014,1014.08,1007,1019,7.88,214,14,100,58.5,59.68,36,83,25.18,214,0,11.8,3.1,3.32,1.57,4.6,2.1,216,0,3,0,0.08,0,0,0.32,216,0,90,20,35.44,1,75,37.3,216
124,278.98,304.33,284.36,294.06,287.96,288.76,284.61,291.79,5.48,216,1003,1032,1013,1015.51,1010,1020,7.32,216,20,93,55,58.86,38.5,81,21.82,216,0,13.9,2.98,3.32,1.94,4.1,2.16,216,0,3,0,0.11,0,0,0.31,216,0,90,20,39.06,1,90,39.58,216
125,278.01,300.14,284.34,293.14,287.69,288.39,284.69,291.77,4.66,216,1002,1031,1011.5,1013.85,1007,1022,8.35,214,24,100,58,63.12,44,83,22.36,214,0,11.8,3.1,3.37,2.06,4.6,1.95,216,0,3,0,0.21,0,0.3,0.56,216,0,90,53,47.31,1,90,39,216
126,280.22,297.74,283.94,291.63,286.14,287.32,283.93,290.66,4.61,216,1002,1029,1011,1013.02,1008,1020,7.06,215,18,100,62,63.73,42,87,23.81,215,0,10.8,3.6,3.69,2.1,5.1,2.07,216,0,3,0,0.22,0,0.3,0.57,216,0,90,33,42.8,1,90,41.02,216
127,279.59,294.07,284.04,291.14,287.37,286.93,283.61,290.19,3.59,216,995,1026,1012,1012.71,1009,1018,8.31,216,17,100,59,60.87,45,75,20.42,216,0,8.2,3.1,3.43,2.48,4.12,1.58,216,0,3,0,0.2,0,0.3,0.52,216,0,97,75,56.72,15.5,90,37.07,216
128,279.81,295.91,282.07,292.11,285.65,286.52,283.42,289.86,4.07,216,995,1029,1015.5,1014.95,1009,1021.5,7.5,216,18,100,63,61.44,46,75,19.6,216,0,10.3,2.73,2.8,1.54,3.6,1.49,216,0,0.9,0,0.08,0,0,0.2,216,0,92,40,45.13,1,90,40.8,216
129,278.28,297.77,282.57,291.44,285.65,286.52,283.29,289.2,4.24,216,1003,1026,1019,1015.72,1010,1021,6.46,215,25,100,66,66.16,48,87,20.55,215,0,11.8,2.6,3.03,1.54,3.66,2,216,0,3,0,0.11,0,0,0.3,216,0,100,40,49.1,1,90,38.54,216
130,274.09,295.6,281.87,290.19,286.08,285.86,282.79,289.04,4.67,216,1002,1028,1018,1017.67,1014,1022,5.65,215,22,100,74,68.1,50,87,22.39,215,0,11.3,2.6,3.34,1.73,4.1,2.29,216,0,3,0,0.19,0,0.3,0.5,216,0,92,63,51.11,5,90,37.44,216
131,276.46,300.1,283.27,292.95,287.61,287.24,285.11,289.72,4.68,216,1006,1024,1016,1016.69,1013,1021,4.51,215,21,100,69,68.67,53,87,22.21,215,0,8.2,2.62,3.12,1.91,4.02,1.67,216,0,12,0,0.26,0,0.3,0.93,216,0,92,75,53.97,1,90,38.88,216
132,279.75,299.89,284.79,294.74,288.87,289.46,286.04,293.43,4.97,216,1008,1022,1015,1015.57,1014,1018,3.36,216,18,100,62,59.5,41,76,21.85,216,0,9.3,3.05,3.13,2.1,4.1,1.6,216,0,3,0,0.13,0,0,0.44,216,0,98,1,27.35,1,64,34.48,216
133,278.89,301.15,283.75,294.07,287.89,288.36,284.02,291.77,5.63,216,1006,1029,1016,1015.94,1014,1019,3.98,216,20,100,62,62.58,44.5,82.5,22.53,216,0,8.7,2.99,3.42,2.1,4.6,1.87,216,0,3,0,0.25,0,0.3,0.59,216,0,92,40,43.43,1,90,38.97,216
134,277.13,297.98,283.83,290.92,287.08,287.08,283.52,290.58,4.79,216,1004,1032,1016,1015.94,1012,1021,6.15,216,19,100,66.5,64.14,42,87,24.41,216,0,8.7,3.1,3.45,2.1,4.56,1.71,216,0,3,0,0.23,0,0.3,0.55,216,0,92,46.5,47.86,1,90,40.46,216
135,279.55,297.3,282.34,291.96,285.64,286.58,283.19,289.94,4.48,216,1002,1035,1017,1017.13,1009,1023.5,8.04,213,19,100,64,62.83,42,87,23.8,211,0,9.3,2.73,3.06,1.69,4.1,1.7,216,0,12,0,0.33,0,0,1.46,216,0,92,40,43.51,1,90,40.33,216
136,278.12,302.37,283.96,294.82,288.45,288.61,285.12,291.71,5.24,216,1002,1032,1015,1015.57,1009,1022,7.59,216,21,100,57,59.67,41,81,21.91,214,0,10.8,3.44,3.94,2.41,5.1,2.14,216,0,3,0,0.09,0,0,0.27,216,0,92,40,44.33,1,90,37.39,216
137,277.4,300.01,285.61,295.22,290.57,289.98,287.94,292.7,4.75,216,1004,1030,1016,1016.08,1012,1019,4.92,216,22,100,57,59.22,43,77,20.46,216,0,11.3,3.12,3.59,2.24,4.6,2.18,216,0,3,0,0.14,0,0.3,0.3,216,1,92,72,50.77,1,90,37.96,216
138,283.48,304.42,286.07,296.79,290.86,291.07,287.07,294.28,4.59,216,1004,1026,1017.5,1016.85,1013,1021,5.97,204,29,100,60.5,61.8,44,79.5,20.48,204,0,6.7,2.16,2.56,1.42,3.6,1.57,216,0,12,0,0.73,0,0.3,2.53,216,0,100,39,38.28,1,75,37.76,216
139,282.01,306.21,286.96,296.19,290.9,291.46,288.56,293.51,4.87,216,1006,1027,1019,1018.97,1016,1022,4.55,193,26,100,57,56.72,39,71,18.91,193,0,8.7,2.6,2.81,1.59,3.6,1.68,216,0,12,0,1.32,0,0,3.69,216,0,90,1,27.31,1,48,34.71,216
140,281.07,304.81,286.32,295.79,289.59,290.79,286.52,293.69,5.64,216,1009,1028,1019,1019.03,1016,1023,4.87,194,25,100,55,57.72,40,72,21.58,194,0,8.7,3.1,3.07,1.8,4.1,1.75,216,0,12,0,1.47,0,0.3,3.67,216,0,97,40,39.66,1,75,37.48,216
141,282.08,302.62,286.29,296.71,289.89,290.8,287.08,294.24,4.82,216,1005,1032,1019.5,1019.67,1013,1026,7.48,210,17,100,54.5,60.44,43,83,23.72,210,0,8.7,3.34,3.53,2.6,4.6,1.67,216,0,12,0,0.54,0,0.3,1.97,216,0,99,1,31.76,1,82.5,39.19,216
142,281.36,299.2,285.31,295.31,290.02,290.11,287.23,293.23,4.34,216,1006,1034,1020,1020.51,1014,1028,7.4,214,23,100,51,55.08,39,68,19.56,214,0,8.7,2.76,3.04,1.69,4.1,1.83,216,0,12,0,0.23,0,0,1.17,216,0,97,5,30.23,1,60.5,34.13,216
143,283.93,304,286.77,296.46,290.06,290.92,287.15,293.43,4.77,216,1006,1028,1018,1016.96,1013,1022,5.88,215,20,100,63,63.98,49,82,19.92,215,0,6.7,2.6,2.6,1.5,3.57,1.42,216,0,3,0,0.3,0,0.3,0.57,216,0,92,56,48.96,1,90,38.1,216
144,282.87,304.03,287.22,296.09,290.64,291.41,288.13,294.1,4.55,216,1007,1029,1014,1014.97,1012,1016,5.13,216,29,100,77,70.02,49,92.5,21.63,216,0,9.26,2.6,2.96,1.57,4.1,1.67,216,0,3,0,0.32,0,0.9,0.52,216,0,100,75,55.35,4.5,90,38.27,216
145,284.04,300.68,287.83,296.28,291.42,291.4,288.17,293.82,3.76,216,1007,1028,1013,1016.12,1011,1022,6.62,216,18,100,62,62.51,47,82,19.99,216,0,11.3,3.15,3.4,2.01,4.11,2.11,216,0,3,0,0.15,0,0.3,0.41,216,0,100,75,52.83,12,90,37.17,216
146,282.23,303.93,285.98,297.27,290.14,291.24,287.37,294.26,4.94,216,1000,1027,1018.5,1017.38,1013.5,1023,6.68,216,15,100,63.5,65.32,48,87,22.38,216,0,8.7,3.1,3.42,2.1,4.6,1.75,216,0,3,0,0.13,0,0,0.41,216,0,90,28,41.92,1,90,39.41,216
147,280.13,304.22,288.49,299.81,293.46,293.43,288.73,298.65,6.49,216,997,1023,1017,1014.71,1011,1020,6.52,216,26,100,64.5,63.94,48,78,19.06,216,0,10.8,3.38,3.37,2.1,4.32,1.82,216,0,3,0,0.13,0,0,0.48,216,0,98,20,37.26,1,86,38.69,216
148,281.2,302.81,289.18,299.21,294.01,293.88,290.98,297.63,4.89,216,1006,1025,1014,1015.2,1012,1018,4.24,216,30,100,64,63.61,53.5,77,16.79,216,0,8.7,3.1,3.18,1.72,4.12,1.67,216,0,3,0,0.14,0,0,0.48,216,0,90,20,33.82,1,75,35.46,216
149,281.36,304.88,287.96,297.61,291.53,291.89,288.57,294.63,4.47,216,1004,1028,1018,1017.32,1013.5,1020,4.62,213,28,100,72,68.54,57.5,82,16.76,213,0,8.2,2.75,2.92,1.92,3.65,1.63,216,0,12,0,0.16,0,0,1.16,216,0,92,39,42.72,1,90,38.72,216
150,281.07,303.23,287.56,295.1,291.03,290.98,286.86,294.03,5.5,216,1004,1026,1018,1017.1,1014,1021,5.33,216,32,100,77,75.28,65.5,87,15.61,216,0,6.69,3.03,2.84,1.75,4.1,1.55,216,0,3,0,0.19,0,0.3,0.45,216,0,100,90,59.78,19,90,39.01,216
151,281.15,300.91,287.67,295.6,291.22,290.9,286.71,295.02,5.27,216,1006,1023,1019,1017.17,1014,1021,4.54,212,32,100,83,78.52,65,93,17.49,212,0,9.26,2.6,2.73,1.58,3.6,1.6,216,0,12,0,0.45,0,0,1.72,216,0,98,75,59.85,20,90,37.05,216
152,282.11,305.84,288.89,298.27,293.05,292.81,289.34,296.21,5.27,216,1004,1023,1017,1016.4,1014,1019,4.33,215,28,100,72,69.93,52,93,21.19,215,0,9.8,3.1,3.14,2.1,4.11,1.86,216,0,3,0,0.13,0,0,0.4,216,0,90,40,45.19,13.5,82.5,34.21,216
153,283.54,305.92,288.24,298.8,292.74,293.14,290.07,296.91,4.98,216,1007,1027,1018,1017.34,1014,1022,5.19,215,21,100,67,65.9,44,88,24.23,214,0,7.7,2.24,2.45,1.5,3.1,1.65,216,0,3,0,0.35,0,0.3,0.87,216,0,92,20,35.6,1,75,36.9,216
154,284.01,304.62,288.38,298.25,293.3,293.22,289.18,296.46,5.03,216,1005,1025,1016.5,1015.74,1011.5,1020,5.67,216,21,100,62,63.25,45,82.5,22.24,216,0,9.8,2.68,2.86,1.8,3.63,1.68,216,0,3,0,0.3,0,0,0.85,216,0,92,6.5,29.69,1,75,35.11,216
155,283.9,303.22,288.33,297.37,291.63,292.3,289.44,295.23,4.56,216,1002,1024,1014,1014.09,1010,1018,5.3,216,22,100,70,68.37,55.5,83,19.13,216,0,8.2,2.6,2.98,1.56,4.1,1.77,216,0,3,0,0.21,0,0.3,0.5,216,0,92,45,47.31,1,87,36.3,216
156,282.6,303.37,288.08,297.43,292.51,292.14,289.32,295.02,4.7,216,1003,1025,1013,1013.6,1009,1017,5.45,216,25,100,72,69.83,55,88,19.83,216,0,6.7,2.6,2.61,1.6,3.1,1.27,216,0,3,0,0.3,0,0.3,0.73,216,0,99,75,56.11,20,88,34.81,216
157,285.34,306.06,288.93,297.33,292.36,292.64,290.1,294.8,4.13,216,1001,1023,1012,1010.87,1007,1014,5.21,215,21,100,76,72.15,58,88,19.13,215,0,8.75,2.44,2.81,1.54,3.6,1.63,216,0,3,0,0.34,0,0.3,0.72,216,0,99,75,55.29,7.5,90,37.22,216
158,285.33,306.88,289.6,298.54,293.81,293.82,289.43,296.61,5.32,216,1003,1022,1008.5,1010.15,1006,1014,5.04,216,23,100,65,66.1,48,87,19.26,216,0.51,11.8,3.1,3.15,2.06,3.91,1.58,216,0,3,0,0.18,0,0.3,0.43,216,0,90,40,43.25,1,75,36.3,216
159,284.01,306.03,288.71,298.01,292.97,293.2,289.5,296.96,4.93,216,997,1023,1015,1013.94,1011,1019,5.97,216,26,97,56.5,59.38,45,72.5,17.48,216,0.31,8.2,2.66,3.14,2.07,3.86,1.63,216,0,12,0,0.12,0,0,0.89,216,0,92,20,35.54,1,75,34.81,216
160,283.42,305.57,288.4,298.18,291.6,292.93,289.12,297.1,4.77,216,999,1023,1016,1014.65,1013,1017.5,5.36,216,25,100,63,65.26,51.5,82.5,20.06,216,0.31,9.77,2.61,2.9,1.5,4.1,1.69,216,0,3,0,0.18,0,0,0.54,216,0,100,20,34.05,1,75,35,216
161,283.79,304.99,289.1,299.41,294.2,293.78,290.38,296.86,4.88,216,1001,1027,1013,1013.19,1008,1016,6.07,216,26,100,63,63.69,46.5,82.5,21.83,216,0.51,11.82,2.8,3.1,1.75,4.1,1.62,216,0,12,0,0.34,0,0.3,1.05,216,0,100,20,37.43,1,75,35.27,216
162,284.71,302.57,289.9,298.7,293.88,294.25,291.2,297.59,4.21,216,1007,1025,1015,1015.49,1013,1018,3.5,216,26,99,59,62.07,45.5,77.5,20.99,216,0.51,9.25,2.55,2.74,1.54,3.6,1.57,216,0,3,0,0.14,0,0.3,0.31,216,0,92,20,32.93,0,75,36.05,216
163,284.08,305.41,290.46,299.14,293.47,294.1,291.35,296.39,4.22,216,1005,1021,1016,1015.49,1014,1018,3.28,216,27,100,66.5,67.82,53,85.5,19.65,216,0.51,9.3,3.09,3.08,1.51,4.1,1.72,216,0,3,0,0.19,0,0.3,0.46,216,0,100,40,45.72,8,90,38.29,216
164,283.56,306.22,290.24,299.17,294.71,294.79,290.96,298.15,4.74,216,1002,1024,1016,1014.62,1011,1019,6.13,216,30,98,67.5,66.37,44.5,88,22.28,216,0.51,13.88,2.6,2.92,1.56,3.61,1.78,216,0,0.9,0,0.12,0,0.3,0.25,216,0,100,20,37.25,1,75,37.65,216
165,286.35,307.15,290.23,297.69,293.53,293.99,290.68,296.29,4.43,216,1003,1022,1013,1012.78,1009,1015,4.3,216,30,99,64,65.02,50.5,77,18.46,216,0.51,12.34,3.1,3.25,2.1,4.1,1.44,216,0,3,0,0.24,0,0.3,0.62,216,0,92,13,35.69,1,75,38.62,216
166,284.44,304.14,289.73,298.34,293.26,293.54,290.36,295.94,4.06,216,999,1029,1011.5,1012.85,1009,1015.5,6.32,216,25,100,62,63.43,46.5,83,21.01,216,0.51,10.3,3.08,3.39,2.09,4.12,1.92,216,0,3,0,0.13,0,0,0.47,216,0,92,20,37.17,1,75,36.33,216
167,284.47,301.38,288.6,298.7,293.35,293.34,290.18,296.4,3.96,216,1000,1030,1015,1014.84,1011,1017,6.78,216,26,100,55,60.3,44.5,76,20.34,216,0.46,8.2,2.6,2.96,1.72,3.71,1.63,216,0,3,0,0.5,0,0,1.07,216,0,92,20,32.68,1,75,36,216
168,287.17,301.08,289.51,297.94,293.19,293.67,290.98,296.54,3.31,216,1006,1030,1014,1014.99,1011,1017,5.69,216,25,100,68,67.01,49.5,82.5,20.47,216,0.51,8.2,2.24,2.61,1.51,3.6,1.48,216,0,3,0,0.49,0,0.3,0.95,216,0,100,7,33.34,1,75,37.71,216
169,286.25,303.78,290.17,298.83,294.63,294.53,291.81,296.85,3.63,216,1007,1026,1015,1015.62,1014,1018,4.29,216,23,100,66,64.78,52,78,18.65,216,0.51,5.14,2.1,2.34,1.41,3.1,1.17,216,0,3,0,0.43,0,0.3,0.98,216,0,92,10,32.88,1,75,37.11,216
170,285.87,304.57,291.65,300.63,294.81,295.98,293.07,299.63,4.25,215,1008,1023,1015,1015.47,1012,1019,4.24,215,26,100,67,65.78,51,82,19.04,215,0.16,7.71,2.6,2.88,1.54,3.66,1.46,215,0,3,0,0.45,0,0.3,1,215,0,92,40,40.95,1,88,39.02,215
171,289.8,304.91,292.57,300.64,295.74,296.11,292.93,298.62,3.59,216,1006,1026,1012,1013.76,1010,1016.5,5.38,216,36,96,78,73.64,58,88,17.54,216,0.51,8.2,2.6,3,1.92,3.99,1.46,216,0,3,0,0.51,0,0.3,0.96,216,0,92,40,45.53,1,90,36.96,216
172,287.47,303.51,291,300.21,294.52,295.22,292.5,297.56,3.66,216,998,1026,1014,1013.73,1010.5,1018,5.53,216,26,100,72,69.93,56,88,19.1,216,0.51,9.8,2.66,2.85,1.92,3.38,1.38,216,0,12,0,1.01,0,0.3,3.13,216,0,92,20,39.01,1,89,38.88,216
173,287.03,303.48,292.4,300.8,295.99,296.25,293.8,298.53,3.52,216,996,1026,1010,1011.09,1007,1015,6.75,216,31,100,63,66.18,50.5,88,20.04,216,0.51,11.82,3.09,3.18,2.09,3.98,1.53,216,0,12,0,0.94,0,0.3,2.59,216,0,92,20,32.8,1,75,34.98,216
174,287.45,305.48,290.55,300.54,295.86,295.76,292.72,298.48,3.87,216,1002,1026,1013,1013.27,1010,1015,5.27,216,25,100,64,62.31,48.5,78,18.04,216,0.16,11.82,3.08,3.21,1.71,4.1,1.83,216,0,12,0,0.86,0,0,3.05,216,0,90,8,24.98,1,42,29.84,216
175,284.94,305.54,290.98,300.52,296.39,295.66,291.3,299.42,4.6,216,1004,1024,1013,1014.26,1011,1018,5.11,216,30,93,62.5,62.15,49.5,76,16.17,216,0.51,8.2,3.08,3.29,2.1,4.39,1.53,216,0,0.9,0,0.06,0,0,0.17,216,0,92,8,28.76,1,61.5,34.93,216
176,287.55,304.07,291.49,300.84,296.64,296.28,293.04,299.33,3.78,216,1002,1029,1012,1014.6,1009,1021,7.45,216,25,100,64,62.83,48,78,18.5,216,0.51,8.2,2.99,3.21,2.06,3.99,1.62,216,0,3,0,0.1,0,0,0.42,216,0,92,7,29.32,1,75,35.21,216
177,288.93,306.65,292.35,301.78,296.67,296.79,294.37,299.51,3.72,216,1008,1027,1016,1016.44,1013,1020,5.4,216,23,94,60.5,59.48,41.5,77,18.68,216,0.24,9.3,2.6,2.9,2.06,3.6,1.48,216,0,12,0,0.17,0,0,1.17,216,0,92,20,32.62,1,75,32.88,216
178,287.28,306.42,291.74,301.67,296.42,296.69,294.1,299.66,3.91,216,1009,1026,1015.5,1016.85,1014,1022,4.77,216,22,95,60,60.5,44.5,74.5,18.8,216,0.51,7.7,2.82,3,2.03,3.6,1.42,216,0,3,0,0.08,0,0,0.32,216,0,95,24,33.11,1,74,32.64,216
179,288.63,304.77,292.52,300.26,296.42,296.4,293.39,298.96,3.77,216,1005,1022,1017.5,1016.44,1014,1020,4.41,216,27,100,64,64.39,53.5,77,16.32,216,0.51,8.2,2.88,3.08,1.99,4.1,1.54,216,0,3,0,0.17,0,0,0.49,216,0,92,40,41.32,1,75,35.98,216
180,287.02,307.13,292.3,301.11,295.92,296.41,293.78,299.45,4.6,216,1003,1026,1015,1014.44,1008,1021,6.64,216,31,100,73,70.05,53,87,18.79,216,0.51,9.8,2.6,3.16,1.5,4.6,1.85,216,0,3,0,0.32,0,0.3,0.69,216,0,91,40,45.05,1,76,37.41,216
181,289.01,308.83,293.26,302.75,297.07,297.67,294.56,300.58,4.24,216,997,1026,1013,1013.63,1009,1020,7.29,216,33,100,65,65.88,49,82,18.98,216,0.51,6.7,3.1,3.19,2.1,4.1,1.42,216,0,12,0,0.3,0,0,1.46,216,0,92,20,30.18,1,44,31.48,216
182,290.07,308.72,293.36,302.34,297.27,297.8,294.93,300.35,4.18,216,998,1021,1014.5,1012.92,1011,1017,5.5,216,28,97,64,63.22,51.5,74,15.16,216,0.45,9.3,3.1,3.18,2.1,4.1,1.59,216,0,3,0,0.06,0,0,0.25,216,0,90,3.5,21.97,1,40,26.64,216
183,290.48,307.14,293.56,302.67,297.18,297.64,295.28,299.68,3.47,216,1004,1018,1012,1012.42,1011,1014,3.01,216,31,97,73,71.66,62,83,14.86,216,0,9.3,2.6,3.1,2.1,4.1,1.64,216,0,12,0,0.28,0,0.3,1,216,0,90,32,36.8,1,75,35.06,216
184,290.34,306.76,293.77,301.91,296.95,297.74,295.02,299.97,3.79,216,1005,1019,1012,1012.39,1011,1015,3.15,216,28,100,73,70.12,53,88,19.34,216,0,11.3,2.6,3,1.95,3.64,1.7,216,0,12,0,0.19,0,0,0.92,216,0,90,20,37.65,1,75,35.43,216
185,288.57,305.93,293.52,301.65,297.92,297.24,294.45,300.28,4.34,210,1006,1029,1014,1014.4,1010,1018,4.61,210,31,96,69,67.91,54,87,18.43,210,0.13,7.2,2.1,2.46,1.5,3.1,1.28,210,0,12,0,0.18,0,0,0.89,210,1,90,40,46.62,1,81,35.79,210
186,288.79,305.34,292.81,301.15,296.35,296.5,293.89,299.15,3.76,216,1010,1031,1016,1017.26,1014,1019,4.96,216,30,100,77,72.16,59.5,88,17.19,216,0,6.7,2.25,2.55,1.5,3.6,1.35,216,0,3,0,0.22,0,0.3,0.62,216,1,92,51.5,50.23,20,90,35.8,216
187,288.39,306.79,292.94,302.78,297.45,297.46,294.63,300.56,4.08,216,1008,1032,1019,1018.48,1015,1022,4.9,216,20,100,69,69.44,58,87,18.35,216,0,7.7,2.55,2.85,1.5,4.1,1.74,216,0,3,0,0.12,0,0,0.48,216,0,90,40,37.25,1,75,32.07,216
188,290.54,307.55,294.69,303.72,298.55,298.86,296.29,301.42,3.78,216,1008,1023,1017,1017,1014.5,1020,3.63,216,28,100,69,67.82,55,81.5,16.72,216,0.45,7.2,2.48,2.62,1.54,3.54,1.28,216,0,12,0,0.15,0,0,0.86,216,0,90,1,26.43,1,40,32.08,216
189,288.86,307.19,294.52,303.01,297.3,298.3,295.6,300.86,3.92,216,1006,1028,1015,1015.14,1011,1019,5.33,216,35,100,72.5,70.21,58,83,15.87,216,0,7.2,3.1,3.01,2.02,4.1,1.53,216,0,12,0,0.31,0,0,1.08,216,0,90,40,41.36,1,75,37.72,216
190,287.07,307.04,294.49,302.6,298.01,298.26,295.86,300.95,3.89,216,1004,1029,1014,1014.29,1009,1016,5.78,216,36,100,78,73.62,61.5,88,16.5,216,0,8.2,2.6,2.84,1.97,3.6,1.48,216,0,3,0,0.23,0,0.3,0.59,216,0,99,40,39.11,1,75,36.51,216
191,289.8,305.6,293.09,302,296.35,297.28,294.07,300.78,3.99,215,1005,1026,1015,1014.51,1012,1016,4.3,215,29,100,72,68.17,54,83,18.26,215,0,9.8,2.6,2.76,1.6,3.6,1.45,215,0,12,0,0.23,0,0,0.96,215,0,90,20,35.11,1,75,36.19,215
192,290.35,305.98,293.29,301.99,296.96,297.4,294.77,299.79,3.42,216,1005,1027,1015,1014.81,1013,1017,3.23,216,26,100,71.5,69.87,56,88,18.44,216,0,10.8,2.6,2.84,1.5,3.6,1.84,216,0,12,0,0.36,0,0,1.51,216,0,90,38,40.09,1,75,35.54,216
193,290.44,303.41,294.06,301.69,297.46,297.66,295.73,300.26,2.98,216,1003,1029,1015,1015.19,1013,1019,5.01,216,37,100,71,70.36,60,83,15.79,216,0,10.3,3.1,3.22,2.1,4.1,1.67,216,0,3,0,0.12,0,0,0.31,216,1,92,40,48.33,20,75,32.12,216
194,289.97,305.48,293.8,302.69,297.81,297.95,295.52,300.75,3.45,216,1004,1033,1017,1015.23,1009.5,1020,6.13,216,27,100,73,70.83,54.5,88,18.92,216,0,7.7,2.58,2.78,1.5,3.73,1.62,216,0,3,0,0.15,0,0,0.52,216,1,92,40,40.12,1,75,35.68,216
195,290.4,304.75,293.84,301.66,297.19,297.67,295.16,300.36,3.19,216,1006,1025,1016,1016.28,1013,1020,5.08,216,29,96,73,69.82,57,83,16.49,216,0.45,9.3,2.6,2.99,1.86,4.1,1.58,216,0,3,0,0.06,0,0,0.25,216,0,92,25,38.36,1,75,35.26,216
196,291.02,304.72,293.57,301.51,296.58,297.18,294.31,299.53,3.43,216,1001,1027,1017,1016.32,1013,1021,5.71,216,29,100,80,75.46,64,93,19.36,216,0,8.7,2.67,2.85,2.02,3.6,1.51,216,0,3,0,0.26,0,0.3,0.55,216,0,100,75,53.5,20,90,36.04,216
197,292.01,305.18,294.43,302.26,297.3,297.92,295.83,300.1,3.09,216,1001,1027,1017,1015.87,1013.5,1020.5,6.22,216,33,100,77,75,61,93,17.82,216,0,8.7,2.6,2.81,1.5,3.99,1.65,216,0,3,0,0.21,0,0.3,0.51,216,0,92,40,48.05,18.5,75,33.08,216
198,289.1,307.26,293.7,302.78,297.53,298,295.07,300.43,4.08,216,1007,1027,1017,1017.48,1014.5,1023,5.27,216,38,100,65,66.77,52,82,16.92,216,0,8.23,2.41,2.76,1.52,3.85,1.61,216,0,0.9,0,0.08,0,0,0.22,216,0,92,20,31.6,1,75,34.37,216
199,288.35,307.48,293.9,302.99,298.17,298.03,294.93,300.62,4.16,215,1008,1030,1017,1017.84,1015,1021,5.16,215,34,100,72,70.97,59,83,16.36,215,0,7.2,2.41,2.63,1.54,3.6,1.47,215,0,12,0,0.13,0,0,0.87,215,0,92,1,25.07,1,40,32.14,215
200,289.14,307.2,294.12,302.91,297.3,298.04,295.49,300.72,3.79,216,1009,1030,1017,1017.67,1013,1021,5.09,216,24,100,73.5,70.56,58,88,18.4,216,0,9.3,2.5,2.81,1.5,3.6,1.67,216,0,3,0,0.38,0,0,0.89,216,0,92,40,41.26,1,75,34.74,216
201,289.27,309.41,295.1,303.6,298.98,299.09,296.28,301.15,4.44,216,1007,1025,1016,1016.78,1013,1019,4.6,216,32,94,66,65.22,52,79.5,16.21,216,0.45,8.2,3.09,2.97,2.06,3.88,1.48,216,0,3,0,0.08,0,0,0.25,216,0,92,20,39.75,1,90,39.3,216
202,290.48,309.18,296.31,305.06,300.21,300.47,298.19,303.67,4.54,216,1005,1031,1014,1014.9,1010,1021,6.2,216,34,95,63,61.75,49,74,15.31,216,0,7.2,2.6,2.84,1.71,3.88,1.44,216,0,0.3,0,0.03,0,0,0.1,216,0,92,1,24.05,1,40,31.61,216
203,289.36,309.07,294.91,303.97,299.84,299.58,296.37,303.1,4.6,216,1001,1031,1012,1013.58,1008.5,1020,6.41,216,30,94,62,62.57,49,76,16.04,216,0,7.2,2.6,2.84,2.03,3.6,1.42,216,0,3,0,0.06,0,0,0.26,216,0,90,20,25.38,1,40,28.12,216
204,290.43,307.16,294.2,303.61,298.95,298.85,296.06,301.63,3.8,216,1002,1026,1013,1013.4,1010,1016,4.45,216,29,100,65,64.91,52.5,77.5,15.91,216,0,8.2,3.1,3.41,2.1,4.6,1.79,216,0,3,0,0.2,0,0,0.57,216,0,100,20,32.33,1,75,34.53,216
205,289.22,308.04,294.05,302.09,297.36,297.89,295.43,300.1,3.72,216,1006,1022,1013,1013.45,1010,1017,4.31,216,24,100,69,68.23,54.5,83,18.71,216,0,8.7,3.1,3.49,2.22,4.6,1.66,216,0,12,0,0.37,0,0.3,1.07,216,1,100,75,52.5,8,90,37.23,216
206,289.75,305.78,293.35,301.86,297.17,297.22,294.37,300.02,3.53,216,1000,1023,1014,1013.85,1010,1018,5.31,216,27,100,72.5,69.39,59.5,83,17.68,216,0,8.2,3.08,3.1,2.09,3.87,1.59,216,0,12,0,0.44,0,0.3,1.06,216,0,92,68,49.25,1,75,36.16,216
207,289.55,305.97,293.11,301.47,297.31,296.99,294.15,299.95,3.84,216,1002,1022,1015,1014.69,1014,1018,4.3,216,32,99,73,69.17,56,83,18.14,216,0.51,6.7,2.81,2.99,2.08,4.1,1.41,216,0,3,0,0.24,0,0.3,0.62,216,0,100,56,48.06,20,75,35.56,216
208,289.78,307.36,293.21,302.11,296.52,297.27,294.28,300.67,4.34,216,1010,1025,1015,1015.92,1013,1017,4.22,216,26,100,68,67.61,53,83,18.73,216,0,8.2,2.6,2.7,1.52,3.6,1.49,216,0,3,0,0.13,0,0,0.47,216,0,100,40,43.03,1,75,36.98,216
